Frame,Opponent x,Opponent y,AI x,AI y,Opponent Facing,AI Facing,Opponent Action,AI Action,Opponent Action Frame,AI Action Frame,Opponent Jumps Left,AI Jumps Left,Opponent Stock,AI Stock,Opponent Percent,AI Percent,Buttons Pressed,Notes,Frame Process Time
-22,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.STANDING,25,1,2,2,4,4,0.0,0.0,"PRESS B
SET MAIN 0.5003937007874015 0.1854330708661417
Empty Input",,
-21,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.DOWN_B_GROUND_START,26,1,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-20,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.DOWN_B_GROUND_START,27,2,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-19,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.DOWN_B_GROUND_START,28,3,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-18,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.DOWN_B_GROUND,29,1,2,2,4,4,0.0,0.0,"PRESS Y
Empty Input",,
-17,42.0,23.450098,-42.0,23.450098,False,True,Action.LANDING,Action.KNEE_BEND,30,1,2,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-16,42.0,23.450098,-42.0,23.450098,False,True,Action.STANDING,Action.KNEE_BEND,1,2,2,2,4,4,0.0,0.0,"Empty InputPRESS B
SET MAIN 0.5003937007874015 0.1854330708661417
",,
-15,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_GROUND_START,Action.KNEE_BEND,1,3,2,2,4,4,0.0,0.0,"PRESS B
SET MAIN 0.5003937007874015 0.1854330708661417
Empty Input",,
-14,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_GROUND_START,Action.DOWN_B_STUN,2,1,2,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-13,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_GROUND_START,Action.DOWN_B_STUN,3,2,2,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-12,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_GROUND,Action.DOWN_B_STUN,1,3,2,1,4,4,0.0,0.0,"Empty InputPRESS Y
",,
-11,42.0,23.450098,-42.0,23.450098,False,True,Action.KNEE_BEND,Action.DOWN_B_AIR,1,1,2,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-10,42.0,23.450098,-42.0,23.450098,False,True,Action.KNEE_BEND,Action.DOWN_B_GROUND,2,2,2,2,4,4,0.0,0.0,"PRESS Y
Empty Input",,
-9,42.0,23.450098,-42.0,23.450098,False,True,Action.KNEE_BEND,Action.KNEE_BEND,3,1,2,2,4,4,0.0,0.0,"Empty InputPRESS B
SET MAIN 0.5003937007874015 0.1854330708661417
",,
-8,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_STUN,Action.KNEE_BEND,1,2,1,2,4,4,0.0,0.0,Empty InputEmpty Input,,
-7,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_STUN,Action.KNEE_BEND,2,3,1,2,4,4,0.0,0.0,"PRESS B
SET MAIN 0.5003937007874015 0.1854330708661417
Empty Input",,
-6,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_STUN,Action.DOWN_B_STUN,3,1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-5,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_AIR,Action.DOWN_B_STUN,1,2,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-4,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_GROUND,Action.DOWN_B_STUN,2,3,2,1,4,4,0.0,0.0,"Empty InputPRESS Y
",,
-3,42.0,23.450098,-42.0,23.450098,False,True,Action.KNEE_BEND,Action.DOWN_B_AIR,1,1,2,1,4,4,0.0,0.0,Empty InputEmpty Input,,
-2,42.0,23.450098,-42.0,23.450098,False,True,Action.KNEE_BEND,Action.DOWN_B_GROUND,2,2,2,2,4,4,0.0,0.0,"PRESS Y
Empty Input",,
-1,42.0,23.450098,-42.0,23.450098,False,True,Action.KNEE_BEND,Action.KNEE_BEND,3,1,2,2,4,4,0.0,0.0,"Empty InputPRESS B
SET MAIN 0.5003937007874015 0.1854330708661417
",,
0,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_STUN,Action.KNEE_BEND,1,2,1,2,4,4,0.0,0.0,Empty InputEmpty Input,,
1,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_STUN,Action.KNEE_BEND,2,3,1,2,4,4,0.0,0.0,"PRESS B
SET MAIN 0.5003937007874015 0.1854330708661417
Empty Input",,
2,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_STUN,Action.DOWN_B_STUN,3,1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
3,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_AIR,Action.DOWN_B_STUN,1,2,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
4,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_GROUND,Action.DOWN_B_STUN,2,3,2,1,4,4,0.0,0.0,"Empty InputPRESS Y
",,
5,42.0,23.450098,-42.0,23.450098,False,True,Action.KNEE_BEND,Action.DOWN_B_AIR,1,1,2,1,4,4,0.0,0.0,Empty InputEmpty Input,,
6,42.0,23.450098,-42.0,23.450098,False,True,Action.KNEE_BEND,Action.DOWN_B_GROUND,2,2,2,2,4,4,0.0,0.0,"PRESS Y
Empty Input",,
7,42.0,23.450098,-42.0,23.450098,False,True,Action.KNEE_BEND,Action.KNEE_BEND,3,1,2,2,4,4,0.0,0.0,"Empty InputPRESS B
SET MAIN 0.5003937007874015 0.1854330708661417
",,
8,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_STUN,Action.KNEE_BEND,1,2,1,2,4,4,0.0,0.0,Empty InputEmpty Input,,
9,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_STUN,Action.KNEE_BEND,2,3,1,2,4,4,0.0,0.0,"PRESS B
SET MAIN 0.5003937007874015 0.1854330708661417
Empty Input",,
10,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_STUN,Action.DOWN_B_STUN,3,1,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
11,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_AIR,Action.DOWN_B_STUN,1,2,1,1,4,4,0.0,0.0,Empty InputEmpty Input,,
12,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_GROUND,Action.DOWN_B_STUN,2,3,2,1,4,4,0.0,0.0,"Empty InputPRESS Y
",,
13,42.0,23.450098,-42.0,23.450098,False,True,Action.KNEE_BEND,Action.DOWN_B_AIR,1,1,2,1,4,4,0.0,0.0,Empty InputEmpty Input,,
14,42.0,23.450098,-42.0,23.450098,False,True,Action.KNEE_BEND,Action.DOWN_B_GROUND,2,2,2,2,4,4,0.0,0.0,"PRESS Y
Empty Input",,
15,42.0,23.450098,-42.0,23.450098,False,True,Action.KNEE_BEND,Action.KNEE_BEND,3,1,2,2,4,4,0.0,0.0,"Empty InputPRESS B
SET MAIN 0.5003937007874015 0.1854330708661417
",,
16,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_STUN,Action.KNEE_BEND,1,2,1,2,4,4,0.0,0.0,Empty InputEmpty Input,,
17,42.0,23.450098,-42.0,23.450098,False,True,Action.DOWN_B_STUN,Action.KNEE_BEND,2,3,1,2,4,4,0.0,0.0,"PRESS B
SET MAIN 0.5003937007874015 0.1854330708661417
Empty Input",,
